Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~qfc_Alfa1.0.PrjPcb|ReportField=ProjectFullPath~E:\qfc\qfc_hardware\qfc_Alfa1.0\qfc_Alfa1.0.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [qfc.PcbDoc]|ReportField=TotalQuantity~217|ReportField=ReportTime~12:01:03|ReportField=ReportDate~2017/7/20|ReportField=ReportDateTime~2017/7/20 12:01:03|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~qfc.PcbDoc|ReportField=DataSourceFullPath~E:\qfc\qfc_hardware\qfc_Alfa1.0\pcb\qfc.PcbDoc
56K|RES 10 OHM 1/10W 5% 0603|R209, R211, R216|0603-RES|RESISTOR0603-RES|3
0R|RES 10 OHM 1/10W 5% 0603|R210|0603-RES|RESISTOR0603-RES|1
105K|RES 10 OHM 1/10W 5% 0603|R212, R215, R218|0603-RES|RESISTOR0603-RES|3
10K/0.1%|RES 10 OHM 1/10W 5% 0603|R214, R217, R220, R224, R225, R226, R500, R503, R512, R513, R516|0603-RES|RESISTOR0603-RES|11
16K5|RES 10 OHM 1/10W 5% 0603|R221, R222, R223, R409|0603-RES|RESISTOR0603-RES|4
220R|RES 10 OHM 1/10W 5% 0603|R400, R401, R402, R403, R404, R405, R406, R501, R502, R504, R505, R508, R509, R510, R511, R514, R515, R517, R518, R519, R520, R524, R526, R527|0603-RES|RESISTOR0603-RES|24
68R|RES 10 OHM 1/10W 5% 0603|R410|0603-RES|RESISTOR0603-RES|1
9K09|RES 10 OHM 1/10W 5% 0603|R411|0603-RES|RESISTOR0603-RES|1
1K5|RES 10 OHM 1/10W 5% 0603|R412, R523, R525|0603-RES|RESISTOR0603-RES|3
100K|RES 10 OHM 1/10W 5% 0603|R414, R528, R529, R530, R531, R532|0603-RES|RESISTOR0603-RES|6
120R|RES 10 OHM 1/10W 5% 0603|R521, R522|0603-RES|RESISTOR0603-RES|2
1K|RES 10 OHM 1/10W 5% 0603|R600|0603-RES|RESISTOR0603-RES|1
IRF7324|MOSFET 2P-CH 20V 2.9A CHIPFET|U200, U202, U203|SO08|PMOSFET-DUAL|3
MIC5332|IC REG LDO 3.3V 0.3A 8TMLF|U201, U208|MLF-8-EPAD|MIC5332|2
BQ24315|IC LI+ CHARGER FRONT END 8SON|U204, U205|QFN8-DSG|BQ24315|2
LTC4417IGN|Selects Highest Priority Supply from Three Inputs|U206|SSOP-24_GN|LTC4417IGN#TRPBF|1
BQ24313|IC LI+ CHARGER FRONT END 8-SON|U207|QFN8-DSG|BQ24313|1
MS5611-01BA|Board Mount Pressure Sensors|U300|MS5611-01BA|MS5611-01BA|1
L3GD20|Sensor, Low-power, Three-axis, Angular rate|U301|L3GD20|L3GD20|1
MPU-6000|GYRO/ACCELEROMETER 6AXIS 24QFN|U302|QFN-24|MPU-6000|1
LSM303D|Module, 3D Accelerometer, 3D Magnetometer|U303|LSM303D|LSM303D|1
LRTB GFTG-T7AW-1+V7A7-29+R5T9-49-L|Muti LEDs|U400|P-LCC-6|MULTI-LEDS|1
TCA62724|3-Channel Constant-Current LED Driver|U401|SON10|TCA62724|1
LT3469|IC AMP DVR W/REG 1.3MHZ TSOT23-8|U402|SOT23-8|LT3469|1
TXS0108QFN20|IC XLATR VOLT-LVL 8B BDIR 20QFN|U500, U501|QFN20-RGY|TXS0108QFN20|2
Dual inverter tri-state, 3.3V/5V|IC INVERTER DUAL 4-INPUT 8TSSOP|U502|TSSOP8_SOT505-2|74LVC2G240-TSSOP-8|1
NUF2042XV6|IC FILTER USB ESD PROTECT SOT363|U503|SOT563-6|NUF2042XV6|1
2908-05WB-MG|CONN MICRO SD CARD PUSH-PUSH R/A|U504|MICROSD|MICROSDSDI|1
STM32F4X7VX 100 pin|REV 3 Silicon or later IC MCU ARM 2MB FLASH 100LQFP|U600|TQFP100|STM32F4X7VX_1|1
FM25V01|IC FRAM 128KBIT 40MHZ 8SOIC|U601|SO08|FM25V01|1
Crystal Oscillator in 3.2x2.5 SMD|CRYSTAL 24MHZ 8PF SMD|X600|OSCILLATOR-3.2X2.5|OSCILLATOR-3.2X2.5|1
